university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
msu,Журналистика (by_target_quota),2026,2026-08-08 14:51:18.007244+00:00,1,"{""by_target_quota"": 1}",,1
msu,Журналистика (by_unusual_quota),2026,2026-08-08 14:51:22.034220+00:00,3,"{""by_unusual_quota"": 3}",,3
msu,Журналистика (by_unusual_quota),2026,2026-08-08 14:51:18.003109+00:00,17,"{""by_unusual_quota"": 17}",,17
msu,Журналистика (general_competition),2026,2026-08-08 14:51:22.036684+00:00,11,"{""general_competition"": 11}",204.0,11
msu,Журналистика (general_competition),2026,2026-08-08 14:51:18.013860+00:00,72,"{""general_competition"": 80}",357.0,72
msu,Журналистика (paid_competition),2026,2026-08-08 14:51:18.049163+00:00,496,"{""paid_competition"": 120}",,496
msu,Журналистика (paid_competition),2026,2026-08-08 14:51:22.040439+00:00,17,"{""paid_competition"": 6}",,17
msu,Журналистика (without_entry_tests),2026,2026-08-08 14:51:18.010258+00:00,8,"{""without_entry_tests"": 80}",,8
msu,Зарубежная филология (by_special_quota),2026,2026-08-08 14:51:16.603443+00:00,2,"{""by_special_quota"": 2}",,2
msu,Зарубежная филология (by_unusual_quota),2026,2026-08-08 14:51:16.606198+00:00,1,"{""by_unusual_quota"": 6}",,1
msu,Зарубежная филология (by_unusual_quota),2026,2026-08-08 14:51:16.608013+00:00,5,"{""by_unusual_quota"": 6}",,5
msu,Зарубежная филология (general_competition),2026,2026-08-08 14:51:16.613666+00:00,61,"{""general_competition"": 72}",337.0,61
msu,Зарубежная филология (paid_competition),2026,2026-08-08 14:51:16.638323+00:00,217,"{""paid_competition"": 45}",,217
msu,Зарубежная филология (without_entry_tests),2026,2026-08-08 14:51:16.610498+00:00,11,"{""without_entry_tests"": 72}",,11
msu,Зарубежное регионоведение (by_special_quota),2026,2026-08-08 14:51:18.727403+00:00,1,"{""by_special_quota"": 1}",,1
